,filepath,text,duration
0,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00001.wav,main_in_airpods_outdoors_00001.wav,2.298137
1,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00002.wav,main_in_airpods_outdoors_00002.wav,4.093555
2,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00003.wav,main_in_airpods_outdoors_00003.wav,3.932676
3,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00004.wav,main_in_airpods_outdoors_00004.wav,3.704575
4,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00005.wav,main_in_airpods_outdoors_00005.wav,3.391112
5,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00006.wav,main_in_airpods_outdoors_00006.wav,3.179563
6,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00007.wav,main_in_airpods_outdoors_00007.wav,3.332877
7,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00008.wav,main_in_airpods_outdoors_00008.wav,3.986613
8,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00009.wav,main_in_airpods_outdoors_00009.wav,3.111604
9,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_000010.wav,main_in_airpods_outdoors_000010.wav,3.46654
10,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00011.wav,main_in_airpods_outdoors_00011.wav,2.09436
11,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00012.wav,main_in_airpods_outdoors_00012.wav,1.847083
12,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00013.wav,main_in_airpods_outdoors_00013.wav,1.846731
13,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00014.wav,main_in_airpods_outdoors_00014.wav,4.271615
14,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00015.wav,main_in_airpods_outdoors_00015.wav,3.181514
15,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00016.wav,main_in_airpods_outdoors_00016.wav,2.745425
16,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00017.wav,main_in_airpods_outdoors_00017.wav,2.390027
17,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00018.wav,main_in_airpods_outdoors_00018.wav,3.458272
18,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00019.wav,main_in_airpods_outdoors_00019.wav,3.561209
19,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00020.wav,main_in_airpods_outdoors_00020.wav,4.106825
20,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00021.wav,main_in_airpods_outdoors_00021.wav,2.075805
21,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00022.wav,main_in_airpods_outdoors_00022.wav,3.893236
22,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00023.wav,main_in_airpods_outdoors_00023.wav,3.290112
23,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00024.wav,main_in_airpods_outdoors_00024.wav,3.671336
24,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00025.wav,main_in_airpods_outdoors_00025.wav,2.710307
25,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00026.wav,main_in_airpods_outdoors_00026.wav,3.748451
26,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00027.wav,main_in_airpods_outdoors_00027.wav,3.283571
27,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00028.wav,main_in_airpods_outdoors_00028.wav,4.153101
28,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00029.wav,main_in_airpods_outdoors_00029.wav,2.740883
29,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00030.wav,main_in_airpods_outdoors_00030.wav,3.842258
30,jstt_dataset/main/in_airpods_outdoors/in_airpods_outdoors_0/main_in_airpods_outdoors_00031.wav,main_in_airpods_outdoors_00031.wav,3.737214
