,filepath,text,duration
0,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00001.wav,main_from_phone_home_00001.wav,2.099422
1,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00002.wav,main_from_phone_home_00002.wav,2.718173
2,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00003.wav,main_from_phone_home_00003.wav,2.357624
3,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00004.wav,main_from_phone_home_00004.wav,2.388094
4,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00005.wav,main_from_phone_home_00005.wav,1.866744
5,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00006.wav,main_from_phone_home_00006.wav,3.044829
6,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00007.wav,main_from_phone_home_00007.wav,3.836099
7,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00008.wav,main_from_phone_home_00008.wav,1.88626
8,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00009.wav,main_from_phone_home_00009.wav,2.821465
9,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_000010.wav,main_from_phone_home_000010.wav,3.619413
10,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00011.wav,main_from_phone_home_00011.wav,2.847661
11,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00012.wav,main_from_phone_home_00012.wav,2.533099
12,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00013.wav,main_from_phone_home_00013.wav,4.21393
13,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00014.wav,main_from_phone_home_00014.wav,2.529551
14,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00015.wav,main_from_phone_home_00015.wav,2.676816
15,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00016.wav,main_from_phone_home_00016.wav,3.360177
16,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00017.wav,main_from_phone_home_00017.wav,3.013133
17,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00018.wav,main_from_phone_home_00018.wav,2.683191
18,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00019.wav,main_from_phone_home_00019.wav,1.841287
19,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00020.wav,main_from_phone_home_00020.wav,2.657339
20,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00021.wav,main_from_phone_home_00021.wav,2.599092
21,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00022.wav,main_from_phone_home_00022.wav,3.102397
22,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00023.wav,main_from_phone_home_00023.wav,4.174652
23,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00024.wav,main_from_phone_home_00024.wav,2.967227
24,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00025.wav,main_from_phone_home_00025.wav,4.147659
25,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00026.wav,main_from_phone_home_00026.wav,3.927373
26,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00027.wav,main_from_phone_home_00027.wav,3.698649
27,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00028.wav,main_from_phone_home_00028.wav,2.173318
28,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00029.wav,main_from_phone_home_00029.wav,2.167304
29,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00030.wav,main_from_phone_home_00030.wav,4.062379
30,jstt_dataset/main/from_phone_home/from_phone_home_0/main_from_phone_home_00031.wav,main_from_phone_home_00031.wav,2.771631
