,filepath,text,duration
0,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00001.wav,main_with_noise_00001.wav,2.691482
1,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00002.wav,main_with_noise_00002.wav,2.280946
2,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00003.wav,main_with_noise_00003.wav,4.061551
3,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00004.wav,main_with_noise_00004.wav,3.622748
4,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00005.wav,main_with_noise_00005.wav,2.882245
5,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00006.wav,main_with_noise_00006.wav,3.831066
6,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00007.wav,main_with_noise_00007.wav,2.757981
7,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00008.wav,main_with_noise_00008.wav,2.338172
8,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00009.wav,main_with_noise_00009.wav,1.886258
9,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_000010.wav,main_with_noise_000010.wav,2.561578
10,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00011.wav,main_with_noise_00011.wav,2.2173
11,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00012.wav,main_with_noise_00012.wav,2.676053
12,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00013.wav,main_with_noise_00013.wav,3.982288
13,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00014.wav,main_with_noise_00014.wav,3.718363
14,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00015.wav,main_with_noise_00015.wav,2.988065
15,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00016.wav,main_with_noise_00016.wav,2.651003
16,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00017.wav,main_with_noise_00017.wav,4.1913
17,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00018.wav,main_with_noise_00018.wav,3.817937
18,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00019.wav,main_with_noise_00019.wav,1.920217
19,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00020.wav,main_with_noise_00020.wav,2.238906
20,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00021.wav,main_with_noise_00021.wav,2.386173
21,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00022.wav,main_with_noise_00022.wav,2.139603
22,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00023.wav,main_with_noise_00023.wav,2.241509
23,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00024.wav,main_with_noise_00024.wav,2.124888
24,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00025.wav,main_with_noise_00025.wav,3.119981
25,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00026.wav,main_with_noise_00026.wav,4.212698
26,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00027.wav,main_with_noise_00027.wav,2.923814
27,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00028.wav,main_with_noise_00028.wav,2.760739
28,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00029.wav,main_with_noise_00029.wav,3.173457
29,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00030.wav,main_with_noise_00030.wav,2.157092
30,jstt_dataset/main/with_noise/with_noise_0/main_with_noise_00031.wav,main_with_noise_00031.wav,3.924176
